user,star,sumary,country&time,kind item,image,comment
Laurel K,5,Love these headphones,"Reviewed in the United States on April 23, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"I use these headphones to game, talk with friends online, and steam videos. The quality of the sound is excellent and the headphones themselves are comfortable. I can wear them for several hours at a time without issue. Some nice features are the retractable mic, volume control behind the ear, and the knob to control game over voice volume ratio. I also like that these headphones can either be USB or headphone jack compatible. I haven't really tried using the wireless feature of the headphones. So i don't know how good they are in that department. I think the only negative is i wish the adjustment straps were a bit different. I personally don't like the design of them as they can come unattached easily. Despite this, i've been using these headphones for quite a while now and I love them. I use them for everything I do online. They're comfortable and the sounds quality is great. These are exactly what I needed."
Galador,5,Timely arrival,"Reviewed in the United States on April 9, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"These were replacements for a 200$ set from Age of Conan era MMO. They came comparable function (good, better than average sound quality) as time moves on. 14 years will really increase the market."
Anthony G,5,Best headset I've ever had.,"Reviewed in the United States on December 19, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"I have had MANY headsets in my 16 years of computer gaming. Many of them were cheap, some were far more expensive at around $200. This headset has the BEST noise cancelling mic I've had. My wife and I play in the same room, 4 feet away from each other, and the mic on this thing doesnt pick her up, it doesnt even care that she's here, I even got her a pair! The sound is loud, noise cancelling in the headphones isn't the BEST, but it's still solid. I will always stick with steel series going forward, unless something DRASTICALLY changes my opinions. This is day 2 with the headset, I've used it for roughly 10 hours so far. I will update this review if anything changes, but I do not suspect it will."
Maleigh,5,BF CANNOT EVER HEAR ME,"Reviewed in the United States on February 28, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,they are great quality headphones! my boyfriend uses them daily and he can never hear me over his game - so they work great. He also has said some pretty great stuff about it sitting right on his head
Nope 🐬,5,upgrading from px22 turtlebeach,"Reviewed in the United States on May 4, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"upgradingfrom px22 turtle beach. they sound amazing out of the box on pc via usb connector. deep bass the world is def muffled around you and you can set up sidetone which means you can hear yourself talk when youre unmuted. i used these for gaming, music, and working from home the mic is great for my work at home call center job and the chat mixer is very useful for obvious reasons. only thing im not a fan of is the mute on the ear. should be on the chat mixer. i feel like i fumble to find it. but its not docking a star because thats me personally. seriously buy these. they do make my ears pretty warm."
Jonathan Moore,5,good headset no major complaints,"Reviewed in the United States on September 10, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"I like the headphones. They are comfortable and they are very good priced for what you get. My only real complaint is the implementation of the Chat/Game Dial, I absoloutely hate this thing. I accidentally move it which makes my volume lower, and there should just be a software override for this thing. It would be much better if it controlled perhaps windows audio (while there is a hardware volume wheel on the headset) and I just found that i just uninstalled the arctis5 game audio and it just fixed that, but regardless other than that, good headset for anything really good balance great for music."
StuffOutlet,5,What the @$%% is this!,"Reviewed in the United States on September 3, 2019",Color: BlackStyle: Arctis 5Verified Purchase,0,"Okay my first impressions just out of the box: Cheap, velcro strap really? wow just wow, and I felt like I'm going to break this just by wearing them.
That being said, I guess it's true; Don't judge a book by its cover. Having them for awhile they are great.
The headset is made out of a high grade plastic that is light weight that you can wear for hours and I mean hours without feeling discomfort. The pads fit around the ears perfectly, the sound is crisp, and the microphone is heavenly as my discord buds said. I can say with the noise cancel my son sat by me for awhile didn't even know he was there until he yelled HI DAD!
The adjuster strap is a thick, soft and contours to your head. Took me about 5 mins to make it perfect.
Make sure you download the software. It enables you to adjust praticly every sound setting you can think of.
Definitely recommend it for PC use."
John M.,5,Pleasantly surprised!,"Reviewed in the United States on May 12, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"I purchased these headphones to match the steel series keyboard on my new msi laptop and a steel series mouse, since they all use the same steel series software. My desktop has an all Logitech suite of peripherals so I am comparing these to my Logitech g935. They sound great after a little tweaking, I was pleasantly surprised! I didn't expect them to sound as good as they do. I must say that when using both game and chat channels there is some crackling that is quite annoying. The thing I like theost is just how comfortable they are to wear for extended periods. So comfy!"
cameron bermudez,5,"Great for PC, comfortable, nice build, great sound.","Reviewed in the United States on May 2, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"Best headset I've had. I've had plenty of Turtle Beach, Logitech, and other headsets. Directional hearing, sound quality are top notch. The Discord voice chat to game chat knob is super convenient for those annoying friends that can't be quiet and let you listen to foot steps. Build quality is A1. Suspension bands are a must to stop the top of your head from hurting for after long game sessions. The mic slides in and out easily and has a nice bright LED letting you know you are muted forwhen your mom starts to tell at you to go to bed late at night. Cables aren't braided but are high quality tangle free and super long. Steelseries engine works which is nice.

I use for PC and it's amazing, I hear it's not so amazing for the console bros. Look elsewhere if you aren't PC."
Tim,5,Best I’ve ever used,"Reviewed in the United States on November 28, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"I bought them after my no name antiques quit. I can’t stand tight pinching, hot over the ear headphones. These are the most comfortable I’ve ever owned and they represent fine quality from the second you open the box to the extremely high quality sound. Using them with my Xbox X Series i Watch movies with them on. Very comfortable"
Ahmed Archambault,5,"2+ YEAR REVIEW - Amazing, but not for me","Reviewed in the United States on December 20, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"The quality of these headphones are great. Sound wise, very impressed. However, they are not for me. I wear glasses, and after about 45 mins, they start to hurt. I ended up gifting to a friend who loves and still uses them to this day with no issues."
Kurt,5,Great headphones for noise suppression,"Reviewed in the United States on December 20, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,I bought these headphones for the DTS support as well as the noise cancelling material and I have not been let down. The noise cancelling is perfect. You can hear things going on outside the headphones just enough to know if something going on but not enough to interfere with gaming. The DTS support works perfectly and I cannot complain about it. These are some of the better gaming headphones in this price range and I cannot recommend them and other steel series products enough.
goldskull08,5,Amazing Headset!,"Reviewed in the United States on October 20, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,This headset is one of the best that I have ever bought in my many years of gaming. The design itself with the elastic strap is extremely comfortable for any head shape so anyone that comes over can enjoy these! The ability to change the amount of game vs chat volume is also something I never thought I would use but it is surprisingly cool especially when using apps like Discord. I would highly recommend these headphones to anyone looking for great quality for a rather reasonable price!!!
Stephen,5,Amazing headphones for my gaming and music,"Reviewed in the United States on May 16, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,Amazing headphones for my gaming and music. Highly recommend!
David P.,4,"a solid 4-4.5 star overall, just too tight on the head.","Reviewed in the United States on June 19, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"I wanted to like these, i really did..
Cloth earpieces, not my first choice, but, these were fairly comfortable, at first.
i prefer a bigger ear piece, one that doesnt press against my hear , but covers it entirely.
a bit too tight on my head as well, after a short while, it was getting uncomfortable.

mic quality is good, as these are one of the better wired headsets out there.

but, i couldnt keep them as the comfort factor on them was bordering on painful after about an hour of gaming.
sound is really excellent. very crisp, and i have tinnitus bad ( ringing in the ears ). had they had a better ear piece design, i would absolutely have kept them.

SO.. if they fit you or you dont mind a bit of a more secure fit, these will do you well. one of the best sounding of the 4 headsets i bought to try out.

build quality is very good, look and feel solid, given their price point, as good as some costing a good deal more, and sound just as good.

recommend if you dont mind a bit of a snug fit, both against your head, and around your ears.."
Primal,4,Just One (Big) Issue,"Reviewed in the United States on March 16, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"I got these for $44 used.. The rating was very good with a trusted verified seller. I can't tell if it's a lemon and why it was returned. Perhaps it's because it's used or perhaps it's an issue with the headphones themselves. However it'll often just start screeching loud static every once in a while. The only way to fix it is to disconnect the headphones and reconnect them. While it's not a huge deal... it is annoying to have incredibly loud/harsh screeching in your ear periodically. It usually only happens make 5-10 times a month, but still not what you want from headphones.

However the sound quality is good, but most wired headphones are just superior to wireless in sound quality. I have a $400-500 wireless headphone set that was vastly outperformed (sound quality wise) by a $100+ Philips Audio Fidelio X2HR . If you can get that for $75 or less I feel it's a better deal than this headset at $44. However for $44 this has good sound quality. The mic isn't the best, but it works fine. I bought it because my work headset was causing weird issues. Lesson learned... more money doesn't always mean a better result.

If you're seriously looking for a headset for work or gaming I'd recommend looking for a wired headset in the $100-200 range. You don't need a more expensive one and at the $100+ mark you're less likely to be hit with a cheaper build to justify the lower price point. However if you want a headset for $50 or less this is a decent one used. Just remember that buying used/refurbished you can get issues like what I did. You're always rolling the dice even if the odds aren't too bad. More like rolling snake eyes to end your run."
Zane Stuemky,4,"Great headset, incredibly confusing software","Reviewed in the United States on March 2, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"I love the headset. Everything sounds great and the mic is very crisp, but the Steelseries software makes it very confusing to use. It’s best to just turn off sonar, which makes everything just not work.

There is also a minor problem I have with the mic, where when I first use it, only static comes out (I tested this with my friends). To fix it you have to unplug and plug back in the headset and it’s fixed. Not a big issue and easily fixed, but kind of annoying having to remember to unplug and plug back in the headset every time I get on.

Amazing quality, just a few quirks that make it a 4/5"
david,4,Great other than the cable,"Reviewed in the United States on February 1, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"i was looking for a headset to use between my computer and xbox and landed on this one. they are soft on the ears for longer gaming sessions.

Gaming: you can hear everything in your game or movie. you can turn them up loud with out them popping

Noise cancellation: i cant hear my dog bark, my wife get mad at me or my kids complain its great.... until you take them off and get in trouble with everyone.

Sound quality: if you use the 3.5 cable it crackles unless you flip the USB-c cable i know it doesnt make sense but it works. when you twist the 3.5 it just keeps crackling you have to turn the cable around.

it comes with both usb and 3.5 cables, the 3.5 connection cable is very flexible and moves easy. the cable with the USB connection is pretty stiff gets twisted/ tangled very easy it also sits funny on your shoulder."
Salazar,4,Good,"Reviewed in the United States on March 23, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,I don’t saw that does not have a wireless connectivity but that was my fault They works nice
David G,4,Most comfortable headphones for glasses wearers!,"Reviewed in the United States on January 23, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"I’ve struggled finding headphones that are comfortable with glasses and have tried countless pairs. These are by far the most comfortable and you don’t even feel the glasses! Taking away 1 star though because of the user interface. If this is something you unplug and plug in often, it sometimes gets messed up. If you’re leaving it plugged in it will work great."
Jaime O.,4,A good midline headset,"Reviewed in the United States on January 15, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Excellent headset with all the different cords to use across many different electronics. Base is not as heavy compared to some but sounds excellent with classical music. I don't use for gaming but sounds great for business calls I make without allowing a lot of background noise. Also cancels a lot of background noise for me while using them.
C-Styles,4,great,"Reviewed in the United States on January 31, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"Not really sure how great these were. I bought them for my great nephew but I have not received any bad response from him, so I take it they were alright."
Wen,4,Not bad,"Reviewed in the United States on February 5, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"Got it for like 50$ off, not bad, thought a little tight on the ears."
Coffee Dream,4,Sound okay.,"Reviewed in the United States on January 19, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Sound okay after using sonar adjustment. Great for for fps games
Anibal Beltran,4,Not wireless,"Reviewed in the United States on December 22, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,For some reason i was thinking they were wireless. They're not. But still good quality. Noce product i guess.
Robert Valdovinos,4,"Surpasses General Use - For Niches, however, It's a Mixed Bag","Reviewed in the United States on September 27, 2019",Color: BlackStyle: Arctis 5Verified Purchase,0,"I got this headset hoping to upgrade from my ASTRO A10 headset.
Generally, there are more benefits than there are drawbacks.

While the headset audio quality is nowhere near that of ASTRO gaming, the Arctis 5 headset audio quality gets the job done

The microphone quality on the Astro A10 headset is mediocre, but the Arctis 5 build-in microphone quality and muting functionality are superb.

While the ASTRO A10 headset is bulky, durable, and very heavy, the SteelSeries Arctis 5 headset is comfortable, light, and disadvises any heavy-duty handling.

The product promises 7.1 Digital Surround Sound through its surround sound simulator software ""SteelSeries Engine 3"".
The software offers terrible ""surround sound"" as it just hampers the audio, so I just leave it off.
However, the software is more useful than most people review!
It offers a wonderful equalizer, microphone volume tuner, RGB-lighting earcup customizer, and microphone sidetone (which lets you hear yourself as you talk in the mic; it isn't ideal but it's there if you want to use it)
(I recommend the following equalizer settings:)
(62.5 = 4.1) (250 = 1.9) (1K = 0) (3.6K = 1.7) (12K = 1)

If there are two things that the Astro 10 headset does considerably better than the Arctis 5 Headset, it would be providing surround sound capabilities and in-line volume control.

I play a lot of shooters, and it is much easier to determine where sounds are coming from in the 3D digital space with the Astro A10 headset than the Arctis 5 headset.

The in-line volume control on the Astro A10 headset is more rigid and secure, while the volume control on the Arctis 5 left earcup is so sensitive that even picking up the headset would be enough force to turn the volume control wheel.

The delicacy of the game-chat audio mixer is ludicrous; just about any amount of force could turn the mixer wheel!

Finally, the way that the earcups on the Arctis 5 can turn inwards but can never outwards is a little disappointing as this headset has some serious personal speaker potential with its volume capabilities.

Now for my most favorite part of using the Arctis 5 headset! The Arctis 5 headset is great for listening to music!

This headset comes with two ports: the custom mini-USB and the 3.5mm audio jack ports.

I love that I can be able to 3.5mm Bluetooth Adapter, and it becomes a wireless headset!
It doesn't have the best audio quality, but this is a major upgrade from the Astro A10's incompatibility with anything less than 5-pole 3.5mm audio jacks in the earcups.
Granted that you also have a headset case, you can take the Arctis 5 headset and a 3.5mm Bluetooth adapter on the go!

You can wear these for much longer periods of time than any Astro headset, which is always a plus!"
Samuel,4,One of the best I’ve owned,"Reviewed in the United States on November 29, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,Friends in party chat said it’s the clearest audio they’ve heard from a microphone
A m a Z O n F r e a K,4,"Good, software troublesome","Reviewed in the United States on June 7, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"OK, here we go!

Pros:
Great Fit
Sound is good
Just plugs right in with ease

Cons:
Software is not good. Too many choices, which in turn makes your game sound like crap.

Overall:
Great headset, but out of the box and plugging in is a nightmare. I had one of my gamers get the same headset and he also said the software is quite cumbersome to the point of uninstalling it. Basically in a nutshell, I plugged the headset it and navigated to the windows settings to adjust ambient sounds, etc., done, works as expected after that change.

Good luck getting these to work unless your a rocket scientist and can sit in front of the software for hours, purely ridiculous whomever developed this sorry excuse for sound control.

Have fun!"
Amazon Customer,4,good but with a quirk,"Reviewed in the United States on August 18, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"as mentioned this is a good headset, the sound is clear, the glow effect looks as one would expect giving a nice ambience, and the mic can be tucked away when not in use, sadly i had trouble with the mic picking up sound when there was non present and constantly making issues, luckily it seemed to go away after a while messing around in settings but im not sure how i fixed it so i cant say for sure. still a good buy for the money you pay."
Kindle Customer,4,Pretty good for beginner gaming headphones.,"Reviewed in the United States on November 6, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,I rather get these kinds because it's well made.
John,4,"Fantastic, but lets in a lot of outside noise","Reviewed in the United States on July 28, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"These are great headphones. The audio is great, and my buddies say my microphone it a lot better than the earbuds I used to use. Plus the RGB lighting matches my Corsair build, even though you can't really control the headphone color with the Corsair software. I wasn't expecting to, so this is perfectly fine. These headphones have a great minimalistic design that I love.

The pads around the ears and headband are very comfortable and breathable, much better than some other models that don't let your ears breathe and allow things to get humid.

There is a volume knob wired into the cord about halfway between the headset and USB connector. I wish this came with something to stick the knob to my desk or tower. If I move around, sometimes it will fall and the knob will twist after contacting something, either reducing the volume of game chat or the game itself. I wish the knob had a stronger detent in the middle to prevent unintentional adjustments.

Also, when you mute your mic, a red light comes on at the tip of the mic. It is very bright. You can overcome this by retracting the mic into the headset (which is a neat feature) but you can still see the light in your monitor reflection if it is dark in your room. Sort of annoying, but you get used to it.

Lastly, for some strange reason, outside noise seems to be louder when wearing these. I have two mini fridges (beer cooler and wine cooler) in the same room as my PC and I can hear them louder with these on than when I take them off. I really can't explain it - maybe the headphone housing unintentionally amplifies these noises?"
Hunter,4,Good quality but some minor issues,"Reviewed in the United States on September 25, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,This is a great headset and I've loved the features that come with them. Only issue with them is the USB C cable that plugs into the headset sometimes unplugs while I'm using them which is a bit annoying but tolerable.
Black Blade,4,Great headset the lights are a little too much,"Reviewed in the United States on January 2, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"I got the SteelSeries Arctis 5

I do love the headset its gives good sounds and good options from its settings
The dangle allowing to make chat or game take more over the sound than the second one is great and the option to disconnect the cable from it makes it really easy to pick up and take away with my laptop

I would have rated it 5 stars however the mic led to allow me to know if the mic is active or not that is great, however, is too strong making it really stick out on calls where you can see my left side shine in red color as well as it floating my eye when the mic is out (not pulled back into the headset), and there is no option as much as I was able to find to control it (turning the led on or off by choice) and its the main reason for the 4 over 5 stars

Besides that the mic works well the headset comes in a good box with 3 cables 1 headset to the proprietary cable ending and from there can go into the Chat/Game dangle with a longer cable into the USB of the PC or a shorter cable that turns to a 3.5 connection that is great if you got a Mic/Speaker connection on a phone or laptop

I world recommend this headset over all

7.1 personally its the first one I got that claims it, and I did not feel it so far, after installing the software and all the rest"
"Buenos, costo-beneficio",4,Good for their price,"Reviewed in the United States on October 9, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"You have good sound quality, good materials, in general good headphones but not the most comfortable for long days of gaming"
Justin Barrus,4,Great headphones with bad mic,"Reviewed in the United States on September 10, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,Sound quality is amazing except the mic. The mic is pretty bad. Very comfortable and sleek. Cable is nice and replaceable which is a pet peave when the cable freys and you can't replace it. Love them. just not for streaming.
Dave Piston,4,Arctis 5 Wired Headset,"Reviewed in the United States on April 4, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"After researching wired headsets for a while I finally decided to give the Arctis 5 a try.

Lets start with the bad first:
Volume wheel feels cheap and loose (but does work well)
Hard to hear yourself even when you've maxed out the Mic Sidetone
Wires are super long which may be a downside for some. (My cat likes them a little too much)

Now the good:
Super, SUPER comfortable! Can't imagine a more comfortable pair of headphones. The strap is genius. Perfectly spreads the weight of the headphones over your head without any pressure spots and it's easily adjustable. The ear cups are made of cloth and memory foam which is great if you're like me and you hate leather or faux leather against your head (don't know if they can be washed but I'll have to find out). Besides the general comfort of it they also don't make you overly sweaty during long gaming sessions and because they're cloth it doesn't make a perfect seal against your head which can cause headaches from the pressure against your eardrums. The MIC is retractable which is a convenient feature and it's simple to adjust it to the perfect position. Everyone I've gamed with has stated the voice quality is good to great. Aesthetically they're simple and tasteful looking with a little bit of bling and eye candy with the configurable LED light rimming each ear cup. Sound quality appears to be pretty good for a roughly one hundo pair of headphones.

Besides a few minor quibbles the Arctis 5 wired headset is overall a VERY comfortable, decent sounding, nice looking pair of headphones for the money."
Raki,4,Gran calidad de sonido,"Reviewed in the United States on August 5, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"Son unos muy buenos audifonos, sirven para todo tipo de equipo que maneje puerto usb tipo c o jack 3.5, el rgb es muy bonito y se programa facilmente. El único detalle que veo es que si tienes la cabeza grande te van a quedar pequeños, verifica en alguna tienda si se acomodan al tamaño de tu cabeza antes de comprarlos"
Amazon Customer,4,"These are great headphones, for the average gamer.","Reviewed in the United States on March 19, 2019",Color: BlackStyle: Arctis 5Verified Purchase,0,"I was a bit skeptical at first when I first purchased these because of the differing reviews. Some totally hated this headset, and some praised them for being the best in the market. I decided to take the chance and buy them. When I received them I was scared of them being a bad headset. After taking them out of the box and plugging them into the USB port on my Playstation (which is what I use them on), I could tell that the sound was pretty decent for $100. I noticed that it sounded a little tinny but it seems to be going away after a week or two. It isn't that loud of a headset so if you prefer headphones that make your ears bleed than these aren't for you, but I don't need super loud headphones. The surround sound is pretty good and noticeable too. The mic is pretty good, I wouldn't say it is as good as advertised, it definitely isn't ""The Best Mic in Gaming"". The mic is good though and should be perfectly fine for gaming with friends. Now let's talk about the negatives. The biggest problem I have with the headset is that the cords are a mess and unnecessarily long. I also think they should get rid of the ChatMix dial because I don't see a purpose in really having it, also it is very sensitive so a little nudge will adjust the dial and possibly turn your game sound off. Another thing I don't like is that the ear cups are really shallow and the speaker is usually touching your ear which can sometimes get a little uncomfortable (although the head strap is really nice). The last thing is not the headphones themselves but the way they are advertised. These are advertised as the most high-quality headset on the market, but it is really just another average headset, they really hype it up for more than it is.
Pros
- The sound is pretty good for the price
- The mic sounds really good
- Pretty good surround sound
- The RGB lights look AMAZING
- Pretty convenient buttons
- Head strap is pretty comfortable

Cons
- Cords are a nightmare
- ChatMix Dial is kind of annoying
- Not very loud (really not a big deal)
- Ear cups really shallow"
tyler bruno,4,Solid Budget Headphones,"Reviewed in the United States on February 12, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"Hey all, so I'm not too experienced in this field of the market. I had a hand-me-down pair of Turtle Beach X12's that lasted for around 12 years (they don't make em like they used to/Discontinued 🤔🤔)

I really enjoy these so far. They seem more flexible than the pair of headphones I have for my xbox, same manufacturer as above, though a much more over-designed model. Obviously, flexibility is not critical to the product but to my mind it will go a long way towards extending the longevity of this headset.

Sound Quality, I am hardly an expert on. When I listen to music, I can hear a deeper depth (more tones or even ""instruments"") than I would with say... stock speakers. This is a huge plus to me. That factor is what I like about headphones. As far as gaming goes... when I think of gaming headsets I think of ""footsteps,"" as considered in shooter games. The only shooter I seem to have played so far while owning these is Insurgency Sandstorm.
I think the directional quality of the sound is as good as can be expected for ~$60 dollars, maybe even better.
I know that after several rounds I am slightly keyed up and or shaking from the immersive quality of my gaming experience. I remember the gun sounds as excellent, whether this is from the game or headphones I'm unable to discern.

I would recommend these to a friend.
In a very subjective sense I like them better than I might have liked a highly branded pair. 🤟

The attached video is the standard pattern of RGB transition/ what they look like in the dark."
Amazon Customer,4,Great headphones for the price.,"Reviewed in the United States on September 2, 2021",Color: BlackStyle: Arctis 5Verified Purchase,0,"Pros:
-Excellent sound for gaming and music (for the casual music listener, that is)
- Wonderful EQ and features built into app
- So dang comfortable, could wear them for long sessions without them becoming a factor
- Cups are soft and durable. Material doesn't peel.
- Party/Game audio knob is convenient.
- FPS gamers will enjoy the accurate audio cues.
- Clean appearance, fun RGB customization options.

Cons:
- For best audio, you can't wear most gaming glasses or a ballcap. Explained below;
If you wear anything that might lift the top of the ear cup from your head, you will compromise the low end of your audio. The cup MUST rest against your head around your ear, else your sound will be tinny.
- Can't find a very convenient location for the adjustment knob, it sort of just floats around my desk. (Hardly inconvenient, more of just a silly observation)
- Not ideal for console gaming, as you lose the all-important audio software, and must manipulate game/party volume through the console.

Another plus to mention, the mute light on the mic is super clutch (though it does not work when using headset with console).."
Jay,4,"Nice set, one noticeable flaw","Reviewed in the United States on June 16, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"If there is one thing I could change about the headset, it would be how the usb cord connects into the headset. That or make the usb cord an angle connector. That thing keeps hitting you in the shoulder. It becomes quite annoying."
S. Swanner,4,A very solid headset with some quirks,"Reviewed in the United States on June 16, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"I've owned this headset for several years now. It's been a pretty consistent experience.

Pros: Quality sound and a decent amount of customization with the application.
Breakaway cable able to be switched with a normal headphone cable
Volume and mic mute adjustment easy to find and use
Mic quality is pretty good, all things considered.

Cons: Breakaway cable connecting the headset to inline USB chat dongle is prone to twisting, which for me resulted in eventually having to replace it due to damage caused by this phenomenon. This is fixed by unplugging it from either end and allowing it to unwind.
Maybe not quite as loud as I would like, but this could be preference.
Only minor adjustment to the fit with the strap provided.

Ultimately, I would recommend this headset if you're a fan of the Steelseries ecosystem. I would maybe opt for a wireless model, but this one isn't bad if that isn't your preference."
Sophie,4,Great Headset - Not As Good Mic for Feminine Voices,"Reviewed in the United States on March 18, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"This headset is pretty good. The dial is great, and after using a USB headset I don't think I can ever go back to using a jack headset. The RGB lights are fun and the customizability in the Steelseries program is pretty nice. I've only had two notable issues:

1) The left earpiece has a tendency to be quieter. Can't tell if this is a me issue with my own ear or a headset issue, but you can manually balance the speaker levels in your native sound systems so it's not that big of an issue.
2) The mic is great... For lower voices. I have a higher voice, and since this lacks some of the decibel levels in the high range, it's much more tinny for my voice. If you have a deeper voice this'll probably be better for you. Mic is still good quality, just sounds tinny.

Overall, I like it! Good and fun headset, get it on sale if you can."
Junk Logins,4,Fine headphones with one issue,"Reviewed in the United States on February 8, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"Headphones work fine, microphone is a little finicky to get situated to pick up voice without sound of breathing, but that might just be a personal issue as adjust a microphone leaves me winded.

Biggest problem (apparently pretty common with Arctis headphones) is that this headset includes a volume control knob designed to allow you to change the relative volume of 'chat' and 'game' channels. This is a neat feature in theory but suffers from a couple of issues:

A) The knob to adjust the volume is extremely easily turned, which means that if you don't put it somewhere nothing will touch it, you're likely to have one of the channels muted or rapidly changing volume before long
and
B) There's no version of the adapter to allow you to use the headphones with the microphone unless you have the knob attached, or a switch to lock/disable the knob. The output from the headphones is a special port that connects to the knob which outputs as a normal USB. You can also use a normal 3.5mm jack, but as the manufacturer notes, to do so is to lose out on the surround sound capability and other features.

All-in-all they're fine headphones, but if you're on the fence you should be aware that you will end up with an extra permanent feature on your desk that you have to keep isolated from any contact, which makes it a little hard to recommend them."
Kaiden,4,Love them,"Reviewed in the United States on May 17, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,I love them I can finally tell where the gun fire is coming from (in the game) but I do wish the music sound was slightly louder the noise canceling works VERY well overall 4 stars I would definitely get it again
Mike S.,4,An excellent pair of headphones,"Reviewed in the United States on December 11, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"Pros:
* Good sound quality. I'm not sure what others are complaining about. They are much better than my HyperCloud headset, not quite as good as my Sennheiser HD 280 PRO but close (which of course dont have a mic, cost the same).
* Work great in Linux, which is somewhat of a miracle given the state of sound in Linux.
* Fancy RGB color shifting
* You can plug in a 3.5mm audio cable and it mixes it in with USB audio. This is nice for playing guitar for example, and not needing a separate mixer to mix the PC + guitar amp.
* Convenient controls, voice clear, overall very satisfied.

Cons:
* Proprietary cable
* Biggest complaint: I often find the USB cable gets unplugged. Perhaps this could be solved by a bigger USB cable between the proprietary dongle and headset (the one that ships is maybe 3.5 feet?). But if it pulls out at a critical moment (during a raid etc) it's a big problem.

Overall, I'm very satisfied and it's more than I expected given the cost."
Grant,4,Cord wraps around itself CONSTANTLY,"Reviewed in the United States on June 6, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,Super annoying. Crappy tangly soft touch cord have to unspin it 5x a day. Otherwise im impressed w the comfort sound and mic quality.
Matthew DeClue,4,Great sound and durable,"Reviewed in the United States on April 19, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"3rd set I've owned, not sure I'd buy a different brand again. 1st 2 sets have lasted a great while. Only complaint is that the elastic band looses its tightness and you can't adjust it enough to keep up over time."
Steelseries Arctis 5,4,Pros and The downside,"Reviewed in the United States on March 2, 2023",Color: BlackStyle: Arctis 5Verified Purchase,1,"Hello. When I first opened the Headphone, there was no defect in it.
Pros(2): The headset has great sound and microphone. I really like RGB lighting and headphone looks very good.
The downside: The headset does not normally make a person sweat, but it does when playing games"
Karen Lee Hawa,4,I use these 6-8 hours a day,"Reviewed in the United States on April 21, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"I need a good quality headset for my work. These have been perfect so far. I don't use the microphone, but the sound quality and comfort are great. I love the adjustable head strap."
